SKU,DKS_Blr_BGRoad_001,DKS_Blr_btmlayout_001,DKS_Blr_HSRlayout_001,DKS_Blr_kaggdaspura_001,DKS_Blr_kalyannagar_001,DKS_Blr_Marathahalli_001,DKS_Blr_Sheshadripurm_001,DKS_Blr_varthur_001,DKS_Blr_whitefield_001
CFODO0002MO,1,0,1,0,3,0,1,1,0
CFODF0001DR,1,0,0,1,1,0,0,1,0
CFODF0008ND,1,0,1,3,0,0,0,0,0
CFODF0005SG,0,0,0,0,2,0,0,0,0
CFODF0037WH,1,0,0,0,0,0,0,0,0
CFODF0042MO,1,2,2,2,3,0,0,0,0
DTRDT0111GN,1,0,0,0,0,0,0,0,0
DTRDT0004GN,0,0,0,0,0,1,0,0,0
DTRDT0265GN,0,0,0,0,2,0,1,0,0
DTRDT0174GN,0,0,0,1,4,1,0,1,0
DTRJT0006CC,0,0,0,0,0,0,0,1,0
DTRBO0004DO,0,1,0,0,0,0,0,0,0
DTRBC0017PU,0,0,0,1,2,0,1,0,0
DTRBC0001ACT,0,0,0,1,0,0,0,0,0
DTRBT0002PG,1,2,0,0,0,0,0,0,0
DSWE0002VIVPH,0,0,0,2,0,0,0,0,0
DSWGS0003VIVPH,3,0,0,2,0,0,0,0,0
DSWK0002VIRPH,1,0,0,2,3,0,0,0,0
DPCTF0012ZOEPH,0,0,0,0,0,0,0,0,0
DSCS0001PCPH,3,0,0,1,3,0,0,0,0
DPCTF0004ZOEPH,2,0,0,2,2,0,0,0,0
DHEHS0016HM,2,0,0,0,0,0,0,0,0
DHEHS0002DR,0,0,0,1,0,0,0,0,0
DHECW0009SKT,0,0,0,0,0,0,0,0,0
DHEHS0027CD,0,1,0,0,0,0,0,0,0
DHEHS0001DR,1,1,0,1,0,0,0,0,0
DGRSC0021WH,0,0,1,0,1,0,0,0,0
DHEHS0027TR,0,1,1,0,0,0,0,1,0
DFOWF0007DR,0,0,0,0,0,0,0,0,0
DFOWF0010JH,0,0,0,0,0,0,0,2,0
DFOWF0001RC,0,0,0,0,0,0,0,0,0
DFODF0105RC,0,0,0,0,0,0,1,0,0
DGRBC0007SKT,0,0,1,2,0,0,0,0,0
DFODF0082DR,0,0,0,0,0,0,1,0,0
DFODF0010PU,1,0,0,1,1,0,0,0,0
DFODF0006ND,1,0,1,2,0,0,0,1,0
DFODF0013PG,0,0,0,0,2,0,1,0,0
DFODF0046PG,2,0,0,0,0,0,0,0,0
DFODF0039RC,1,1,0,0,0,0,0,0,0
DFODF0016HN,2,0,0,0,0,0,0,0,0
DFODF0061RC,0,0,0,0,0,1,0,0,0
DFODF0018ND,1,1,0,0,0,0,0,0,0
DFODF0026RC,1,0,0,0,0,0,1,1,0
DBONA0039SKT,0,0,0,0,2,0,0,0,0
DBONA0017SKT,0,0,0,0,0,0,0,0,0
CTOCA0014BR,0,2,0,2,2,1,0,0,0
CTOTC0003BS,1,0,0,0,0,0,0,0,0
CFOWF0003FPU,0,0,0,0,0,0,0,0,0
CFOWF0110MO,1,0,0,0,0,0,0,1,0
CLILI0006IN,1,0,0,4,0,0,0,0,0
CFOWF0248MO,0,0,0,0,0,0,0,0,0
CFOWF0009SUD,0,0,0,0,0,0,0,0,0
CFOWF0015RC,0,1,0,0,0,0,0,0,0
CFODF0015FR,0,0,0,0,0,0,0,0,0
CFODF0009WH,1,0,0,0,0,0,0,0,0
CFODF0009FR,1,0,0,0,0,0,0,0,0
CFODF0005MO,1,0,0,2,0,0,0,0,0
CFODF00014SG,0,1,0,0,0,0,0,0,0
CFODF0008SG,1,0,0,1,2,0,0,0,0
